@relation training-set-BOOKKEEPER
@attribute LOC
@attribute NR 
@attribute NAuth 
@attribute CC
@attribute NComm
@attribute LOC_Added 
@attribute MAX_LOC_Added
@attribute  AVG_LOC_Added
@attribute Churn 
@attribute MAX_Churn
@attribute AVG_Churn 
@attribute Buggy {'true', 'false'}
@data
197,3,2,5,17,11,6,3.6666666666666665,10,9,3.3333333333333335,true
72,0,0,1,23,0,0,0.0,0,0,0.0,false
91,1,1,1,26,5,5,5.0,0,0,0.0,false
169,8,2,17,24,63,17,7.875,31,18,3.875,true
22,0,0,1,17,0,0,0.0,0,0,0.0,false
248,6,3,17,22,40,16,6.666666666666667,54,28,9.0,true
193,0,0,13,37,0,0,0.0,0,0,0.0,true
50,0,0,1,17,0,0,0.0,0,0,0.0,false
74,1,1,6,17,2,2,2.0,1,1,1.0,true
98,1,1,9,17,2,2,2.0,1,1,1.0,false
62,0,0,2,17,0,0,0.0,0,0,0.0,false
737,2,1,50,28,149,144,74.5,1,1,0.5,true
48,2,1,1,22,8,5,4.0,0,0,0.0,false
566,3,2,25,17,34,32,11.333333333333334,5,4,1.6666666666666667,true
385,5,2,35,17,15,8,3.0,21,14,4.2,true
46,1,1,3,17,1,1,1.0,0,0,0.0,false
61,2,2,1,26,5,4,2.5,0,0,0.0,true
29,1,1,1,17,1,1,1.0,0,0,0.0,true
56,0,0,6,17,0,0,0.0,0,0,0.0,true
204,4,2,16,37,6,2,1.5,80,75,20.0,true
393,10,3,53,24,96,48,9.6,190,90,19.0,true
28,0,0,1,17,0,0,0.0,0,0,0.0,false
114,3,1,7,25,9,4,3.0,1,1,0.3333333333333333,true
1026,13,3,101,24,220,81,16.923076923076923,481,194,37.0,true
369,0,0,20,22,0,0,0.0,0,0,0.0,true
183,3,2,10,17,20,16,6.666666666666667,2,2,0.6666666666666666,false
58,1,1,4,17,2,2,2.0,1,1,1.0,false
728,5,2,38,23,203,121,40.6,168,77,33.6,true
42,0,0,1,20,0,0,0.0,0,0,0.0,false
289,1,1,17,17,1,1,1.0,0,0,0.0,true
103,1,1,11,17,30,30,30.0,0,0,0.0,false
181,6,2,10,24,22,9,3.6666666666666665,11,4,1.8333333333333333,true
42,0,0,1,17,0,0,0.0,0,0,0.0,false
64,1,1,2,17,16,16,16.0,0,0,0.0,false
548,8,2,9,32,492,401,61.5,138,59,17.25,true
138,0,0,8,26,0,0,0.0,0,0,0.0,true
78,0,0,1,26,0,0,0.0,0,0,0.0,true
52,1,1,2,17,2,2,2.0,0,0,0.0,true
58,1,1,4,25,1,1,1.0,0,0,0.0,false
137,3,1,13,17,13,10,4.333333333333333,1,1,0.3333333333333333,true
58,2,1,2,17,5,3,2.5,0,0,0.0,false
41,0,0,3,17,0,0,0.0,0,0,0.0,false
38,1,1,1,23,2,2,2.0,0,0,0.0,false
69,2,2,4,22,29,25,14.5,25,25,12.5,true
452,3,2,30,17,20,17,6.666666666666667,2,1,0.6666666666666666,true
87,1,1,6,24,1,1,1.0,0,0,0.0,true
72,1,1,2,17,1,1,1.0,0,0,0.0,true
85,1,1,3,24,1,1,1.0,0,0,0.0,false
81,0,0,6,17,0,0,0.0,0,0,0.0,true
75,1,1,1,26,6,6,6.0,0,0,0.0,true
32,1,1,1,17,3,3,3.0,1,1,1.0,true
99,3,1,9,17,9,4,3.0,1,1,0.3333333333333333,true
159,2,1,12,17,4,2,2.0,1,1,0.5,false
205,3,1,12,24,7,4,2.3333333333333335,1,1,0.3333333333333333,true
271,3,2,38,24,9,8,3.0,22,12,7.333333333333333,true
101,2,1,2,17,50,48,25.0,1,1,0.5,false
70,2,1,1,25,6,4,3.0,0,0,0.0,false
514,0,0,36,50,0,0,0.0,0,0,0.0,true
54,2,2,4,20,5,4,2.5,0,0,0.0,false
111,0,0,5,17,0,0,0.0,0,0,0.0,false
64,1,1,1,29,1,1,1.0,0,0,0.0,false
88,2,1,3,23,3,2,1.5,1,1,0.5,false
43,0,0,1,17,0,0,0.0,0,0,0.0,false
429,2,1,44,21,77,75,38.5,1,1,0.5,true
74,1,1,9,17,2,2,2.0,0,0,0.0,false
94,2,1,7,22,3,2,1.5,1,1,0.5,false
336,5,3,26,17,78,35,15.6,7,3,1.4,true
154,2,1,8,17,11,9,5.5,1,1,0.5,true
234,5,3,23,17,204,101,40.8,25,23,5.0,true
128,4,2,10,17,9,5,2.25,1,1,0.25,false
762,11,2,42,24,700,520,63.63636363636363,223,75,20.272727272727273,true
