@relation 'AVRO-testingRelease_10-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute LOC numeric
@attribute NR numeric
@attribute NAuth numeric
@attribute CC numeric
@attribute NComm numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute 'Buggy{No,Yes}' {false,true}

@data
37,2,1,1,18,2,1,1,2,1,1,false
24,1,1,1,18,1,1,1,0,0,0,false
57,1,1,3,18,1,1,1,2,2,2,false
59,0,0,3,17,0,0,0,0,0,0,false
205,1,1,13,37,1,1,1,0,0,0,false
32,0,0,1,18,0,0,0,0,0,0,false
54,0,0,2,18,0,0,0,0,0,0,false
247,0,0,13,18,0,0,0,0,0,0,false
69,0,0,4,19,0,0,0,0,0,0,false
25,0,0,1,19,0,0,0,0,0,0,false
35,0,0,1,18,0,0,0,0,0,0,false
36,0,0,1,18,0,0,0,0,0,0,false
245,4,1,18,20,6,3,1.5,44,30,11,false
63,1,1,2,18,2,2,2,0,0,0,false
294,2,2,22,26,15,13,7.5,45,43,22.5,false
98,2,1,7,18,5,3,2.5,4,3,2,false
43,0,0,1,18,0,0,0,0,0,0,false
85,2,2,5,18,3,2,1.5,0,0,0,false
36,0,0,1,21,0,0,0,0,0,0,false
49,0,0,1,18,0,0,0,0,0,0,false
35,0,0,1,20,0,0,0,0,0,0,false
57,1,1,8,18,0,0,0,3,3,3,false
522,1,1,13,18,0,0,0,70,70,70,false
79,1,1,5,21,1,1,1,0,0,0,false
77,1,1,3,18,5,5,5,2,2,2,false
60,0,0,1,18,0,0,0,0,0,0,false
63,0,0,2,17,0,0,0,0,0,0,false
1352,3,2,191,49,3,2,1,8,5,2.666667,false
55,0,0,3,18,0,0,0,0,0,0,false
28,1,1,1,18,0,0,0,3,3,3,false
276,4,2,1,34,20,15,5,13,11,3.25,false
106,0,0,7,18,0,0,0,0,0,0,false
132,1,1,13,20,8,8,8,0,0,0,false
29,0,0,1,18,0,0,0,0,0,0,false
464,3,1,69,23,28,26,9.333333,44,34,14.666667,false
478,2,2,101,18,1,1,0.5,1,1,0.5,false
204,2,2,20,25,4,3,2,1,1,0.5,false
75,0,0,6,18,0,0,0,0,0,0,false
55,0,0,3,22,0,0,0,0,0,0,false
449,0,0,48,37,0,0,0,0,0,0,false
50,2,2,2,18,3,2,1.5,0,0,0,false
549,0,0,20,21,0,0,0,0,0,0,false
107,0,0,8,19,0,0,0,0,0,0,false
136,1,1,20,20,1,1,1,0,0,0,false
39,0,0,1,24,0,0,0,0,0,0,false
43,1,1,4,18,1,1,1,0,0,0,false
222,0,0,29,21,0,0,0,0,0,0,false
363,3,2,37,21,21,19,7,23,17,7.666667,false
285,3,2,3,38,10,4,3.333333,10,4,3.333333,false
88,0,0,9,18,0,0,0,0,0,0,false
52,0,0,1,18,0,0,0,0,0,0,false
76,1,1,25,19,1,1,1,2,2,2,false
27,1,1,1,18,1,1,1,0,0,0,false
81,2,2,5,18,5,3,2.5,3,2,1.5,false
57,0,0,1,24,0,0,0,0,0,0,false
254,1,1,30,17,3,3,3,1,1,1,false
42,0,0,1,18,0,0,0,0,0,0,false
50,0,0,1,22,0,0,0,0,0,0,false
285,7,2,27,18,18,4,2.571429,14,10,2,false
69,1,1,2,18,4,4,4,11,11,11,false
28,1,1,1,18,0,0,0,3,3,3,false
99,0,0,4,21,0,0,0,0,0,0,true
40,1,1,1,20,1,1,1,2,2,2,false
39,0,0,1,18,0,0,0,0,0,0,false
145,0,0,6,27,0,0,0,0,0,0,false
99,0,0,18,21,0,0,0,0,0,0,false
202,2,1,60,18,0,0,0,8,7,4,false
206,3,1,23,18,3,1,1,8,4,2.666667,false
84,0,0,4,17,0,0,0,0,0,0,false
93,0,0,7,17,0,0,0,0,0,0,false
88,0,0,4,18,0,0,0,0,0,0,false
80,0,0,2,18,0,0,0,0,0,0,false
51,0,0,3,23,0,0,0,0,0,0,false
243,0,0,25,22,0,0,0,0,0,0,false
215,2,1,5,26,22,11,11,40,20,20,false
76,0,0,1,23,0,0,0,0,0,0,false
359,0,0,31,23,0,0,0,0,0,0,false
270,2,1,11,20,2,2,1,6,4,3,false
80,0,0,1,18,0,0,0,0,0,0,false
74,0,0,6,18,0,0,0,0,0,0,false
95,0,0,5,22,0,0,0,0,0,0,false
