"Release","FileName","LOC","NR","NAuth","CC","NComm","LocAdded","MaxLocAdded","AvgLocAdded","Churn","MaxChurn","AvgChurn","Buggy{No,Yes}"
"2","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java","79","1","1","1","26","1","1","1.0","1","1","1.0","false"
"2","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java","132","0","0","3","20","0","0","0.0","0","0","0.0","false"
"2","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java","141","1","1","13","17","0","0","0.0","4","4","4.0","false"
"2","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java","38","0","0","1","23","0","0","0.0","0","0","0.0","false"
"2","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java","612","4","1","51","17","25","7","6.25","160","92","40.0","false"
"2","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java","90","1","1","5","24","22","22","22.0","3","3","3.0","false"
"2","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java","85","0","0","3","24","0","0","0.0","0","0","0.0","false"
"2","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java","85","1","1","6","17","0","0","0.0","4","4","4.0","false"
"2","hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java","80","1","1","1","26","0","0","0.0","5","5","5.0","false"
"2","hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java","103","1","1","9","17","1","1","1.0","4","4","4.0","false"
"2","hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java","160","1","1","12","17","0","0","0.0","1","1","1.0","false"
"2","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java","271","1","1","46","19","13","13","13.0","11","11","11.0","false"
"2","hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java","86","1","1","1","25","2","2","2.0","16","16","16.0","false"
"2","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java","507","4","2","34","50","36","31","9.0","25","16","6.25","false"
"2","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java","27","1","1","1","20","53","53","53.0","52","52","52.0","false"
"2","hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java","111","0","0","5","17","0","0","0.0","0","0","0.0","false"
"2","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java","64","0","0","1","29","0","0","0.0","0","0","0.0","false"
"2","hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigJMXService.java","37","0","0","1","20","0","0","0.0","0","0","0.0","false"
