"Release","FileName","LOC","NR","NAuth","CC","NComm","LocAdded","MaxLocAdded","AvgLocAdded","Churn","MaxChurn","AvgChurn","Buggy{No,Yes}"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java","35","1","1","1","17","1","1","1.0","0","0","0.0","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java","231","4","2","24","21","12","6","3.0","7","6","1.75","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java","92","5","2","5","24","742","688","148.4","679","675","135.8","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java","50","1","1","1","17","3","3","3.0","0","0","0.0","false"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java","29","1","1","1","17","1","1","1.0","0","0","0.0","false"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java","37","1","1","1","17","3","3","3.0","0","0","0.0","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","180","3","2","22","26","15","12","5.0","12","8","4.0","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","147","0","0","1","24","0","0","0.0","0","0","0.0","false"
"1","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java","98","1","1","13","17","1","1","1.0","0","0","0.0","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java","149","1","1","17","26","3","3","3.0","0","0","0.0","true"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java","45","0","0","3","17","0","0","0.0","0","0","0.0","true"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java","105","4","2","2","17","43","39","10.75","2","1","0.5","true"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java","227","2","1","20","17","52","50","26.0","1","1","0.5","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java","98","1","1","6","32","4","4","4.0","0","0","0.0","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java","96","3","1","1","26","11","5","3.6666666666666665","1","1","0.3333333333333333","true"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java","60","1","1","1","17","1","1","1.0","0","0","0.0","false"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java","68","1","1","2","17","11","11","11.0","0","0","0.0","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java","74","1","1","5","23","4","4","4.0","0","0","0.0","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java","603","8","3","47","22","80","24","10.0","34","11","4.25","true"
"1","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java","62","0","0","6","17","0","0","0.0","0","0","0.0","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java","84","3","1","7","17","9","5","3.0","1","1","0.3333333333333333","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java","157","2","2","8","24","7","6","3.5","6","6","3.0","true"
"1","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java","35","0","0","1","17","0","0","0.0","0","0","0.0","true"
