@relation 'BOOKKEEPER-trainingRelease_3-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute LOC numeric
@attribute NR numeric
@attribute NAuth numeric
@attribute CC numeric
@attribute NComm numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute 'Buggy{No,Yes}' {false,true}

@data
42,0,0,1,20,0,0,0,0,0,0,false
582,7,3,12,32,185,67,26.428571,152,68,21.714286,false
90,0,0,3,20,0,0,0,0,0,0,true
143,1,1,8,26,0,0,0,5,5,5,false
79,1,1,1,26,1,1,1,1,1,1,false
132,0,0,3,20,0,0,0,0,0,0,false
141,1,1,13,17,0,0,0,4,4,4,false
38,0,0,1,23,0,0,0,0,0,0,false
612,4,1,51,17,25,7,6.25,160,92,40,false
90,1,1,5,24,22,22,22,3,3,3,false
85,0,0,3,24,0,0,0,0,0,0,false
85,1,1,6,17,0,0,0,4,4,4,false
80,1,1,1,26,0,0,0,5,5,5,false
103,1,1,9,17,1,1,1,4,4,4,false
160,1,1,12,17,0,0,0,1,1,1,false
271,1,1,46,19,13,13,13,11,11,11,false
86,1,1,1,25,2,2,2,16,16,16,false
507,4,2,34,50,36,31,9,25,16,6.25,false
27,1,1,1,20,53,53,53,52,52,52,false
111,0,0,5,17,0,0,0,0,0,0,false
64,0,0,1,29,0,0,0,0,0,0,false
37,0,0,1,20,0,0,0,0,0,0,false
43,0,0,1,17,0,0,0,0,0,0,false
664,1,1,50,32,1,1,1,0,0,0,false
74,0,0,9,17,0,0,0,0,0,0,false
48,0,0,1,21,0,0,0,0,0,0,false
256,4,2,27,17,35,14,8.75,41,19,10.25,false
905,9,3,59,24,78,30,8.666667,143,65,15.888889,false
45,0,0,1,20,0,0,0,0,0,0,false
576,2,1,55,23,13,11,6.5,26,22,13,false
63,0,0,1,21,0,0,0,0,0,0,true
184,3,2,8,23,9,5,3,3,2,1,false
