@relation 'BOOKKEEPER-testingRelease_3-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute LOC numeric
@attribute NR numeric
@attribute NAuth numeric
@attribute CC numeric
@attribute NComm numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute 'Buggy{No,Yes}' {false,true}

@data
74,0,0,7,17,0,0,0,0,0,0,false
31,0,0,1,20,0,0,0,0,0,0,false
28,0,0,1,17,0,0,0,0,0,0,false
4088,6,2,363,2,26,13,4.333333,2595,865,432.5,false
47,0,0,1,21,0,0,0,0,0,0,false
219,3,2,12,20,3,3,1,21,16,7,false
377,2,1,33,17,25,22,12.5,14,12,7,false
1242,19,3,143,24,172,40,9.052632,556,153,29.263158,false
125,10,2,4,22,344,309,34.4,362,296,36.2,false
183,0,0,10,17,0,0,0,0,0,0,false
58,0,0,4,17,0,0,0,0,0,0,false
778,13,3,48,23,341,221,26.230769,330,145,25.384615,false
42,0,0,1,20,0,0,0,0,0,0,false
45,1,1,1,20,1,1,1,0,0,0,false
648,11,3,14,32,66,18,6,107,66,9.727273,false
91,1,1,3,20,2,2,2,1,1,1,false
143,0,0,8,26,0,0,0,0,0,0,false
106,2,1,4,26,4,3,2,27,27,13.5,false
62,1,1,4,23,1,1,1,30,30,30,false
142,3,1,12,17,5,3,1.666667,5,2,1.666667,false
111,0,0,9,17,0,0,0,0,0,0,false
129,2,1,8,17,524,521,262,531,512,265.5,false
24,0,0,1,20,0,0,0,0,0,0,false
422,3,1,27,23,95,89,31.666667,124,113,41.333333,false
131,0,0,3,20,0,0,0,0,0,0,false
38,0,0,1,23,0,0,0,0,0,0,false
798,10,2,63,17,127,37,12.7,226,74,22.6,false
109,2,1,6,24,17,15,8.5,19,15,9.5,false
85,0,0,3,24,0,0,0,0,0,0,false
160,0,0,1,21,0,0,0,0,0,0,false
154,0,0,15,17,0,0,0,0,0,0,true
90,1,1,6,17,0,0,0,5,5,5,false
80,0,0,1,26,0,0,0,0,0,0,false
357,7,1,49,23,109,87,15.571429,70,49,10,false
155,2,2,9,17,15,9,7.5,7,6,3.5,false
271,0,0,46,19,0,0,0,0,0,0,true
86,0,0,1,25,0,0,0,0,0,0,false
466,5,3,33,32,169,113,33.8,53,30,10.6,false
134,3,1,6,20,27,13,9,52,26,17.333333,false
27,0,0,1,20,0,0,0,0,0,0,false
111,0,0,5,17,0,0,0,0,0,0,false
159,2,1,1,20,31,19,15.5,41,28,20.5,false
64,0,0,1,29,0,0,0,0,0,0,false
37,0,0,1,20,0,0,0,0,0,0,false
162,0,0,19,23,0,0,0,0,0,0,false
43,0,0,1,17,0,0,0,0,0,0,false
664,0,0,50,32,0,0,0,0,0,0,true
74,0,0,9,17,0,0,0,0,0,0,false
48,0,0,1,21,0,0,0,0,0,0,false
260,5,3,27,17,17,4,3.4,12,5,2.4,false
978,12,3,55,24,265,77,22.083333,185,91,15.416667,false
45,0,0,1,20,0,0,0,0,0,0,false
582,7,3,52,23,26,9,3.714286,19,7,2.714286,false
358,3,1,33,20,6,4,2,50,42,16.666667,false
136,2,1,10,21,6,5,3,3,2,1.5,false
89,2,1,1,21,2,1,1,26,25,13,false
